lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
chinese,7,-2,-4,24,0.6666666666666666,11,3
chinese,8,-4,-2,21,0.6190476190476191,10,4
chinese,4,3,-8,19,0.7368421052631579,12,2
chinese,8,-7,7,18,0.5555555555555556,10,3
chinese,6,8,-5,17,0.47058823529411764,13,4
chinese,8,-4,7,16,0.8125,10,3
chinese,8,-4,-1,16,0.375,11,5
chinese,6,-4,0,16,0.5625,13,3
chinese,3,4,-8,15,0.8,10,2
chinese,8,-7,6,15,0.6666666666666666,10,2
chinese,4,2,-7,15,0.7333333333333333,10,3
chinese,4,1,-6,14,0.9285714285714286,4,2
chinese,6,-6,6,14,0.8571428571428571,5,2
chinese,9,-5,8,14,0.8571428571428571,9,3
chinese,5,7,5,13,0.9230769230769231,7,2
chinese,3,6,-10,13,0.6923076923076923,9,4
chinese,6,-1,-5,13,0.9230769230769231,5,2
chinese,5,7,6,13,0.9230769230769231,7,2
chinese,4,7,-9,13,0.6153846153846154,8,3
chinese,8,-6,7,12,0.9166666666666666,5,2
chinese,8,1,8,12,0.8333333333333334,11,3
chinese,3,-1,-2,12,0.3333333333333333,12,6
chinese,6,-3,6,12,0.8333333333333334,9,3
chinese,3,5,-9,12,0.8333333333333334,6,3
chinese,8,-5,1,12,0.5833333333333334,10,5
chinese,5,6,6,12,0.6666666666666666,7,3
chinese,4,4,-9,12,0.75,6,2
chinese,5,8,-6,12,0.75,6,3
chinese,4,4,-4,12,1.0,4,1
chinese,5,7,1,12,0.5833333333333334,11,5
chinese,5,6,2,12,0.8333333333333334,12,3
chinese,5,7,3,12,0.9166666666666666,9,2
chinese,7,2,-3,12,0.9166666666666666,8,2
chinese,3,-2,0,12,0.8333333333333334,7,3
chinese,5,0,5,12,0.3333333333333333,11,7
chinese,5,2,-7,12,0.75,6,2
chinese,5,8,-4,11,0.6363636363636364,9,3
chinese,5,8,-7,11,0.5454545454545454,7,4
chinese,7,-3,-3,11,0.8181818181818182,6,2
chinese,8,-6,4,11,0.8181818181818182,8,2
chinese,6,0,-6,11,0.8181818181818182,7,2
chinese,5,7,4,11,0.6363636363636364,7,5
chinese,8,-6,5,11,0.7272727272727273,8,2
chinese,5,1,-7,11,0.9090909090909091,8,2
chinese,4,1,-5,11,0.8181818181818182,8,2
chinese,9,-5,0,11,0.45454545454545453,8,5
chinese,3,2,-6,11,0.6363636363636364,6,4
chinese,9,-3,8,11,0.45454545454545453,9,3
chinese,3,5,-5,11,1.0,4,1
chinese,8,-5,6,11,0.9090909090909091,6,2
chinese,7,-5,1,11,0.45454545454545453,9,3
chinese,4,-1,-3,11,0.45454545454545453,10,4
chinese,7,3,7,11,0.5454545454545454,6,5
chinese,5,2,-6,11,0.9090909090909091,5,2
chinese,7,0,6,11,0.5454545454545454,7,5
chinese,4,0,-4,11,0.8181818181818182,8,2
chinese,8,-6,3,11,0.5454545454545454,10,5
chinese,7,-6,6,11,1.0,3,1
chinese,6,-5,4,10,0.8,6,2
chinese,5,-5,5,10,0.9,5,2
chinese,6,5,-2,10,0.4,8,4
chinese,8,3,-2,10,0.7,7,2
chinese,8,2,1,10,0.6,9,4
chinese,4,7,-8,10,1.0,3,1
chinese,9,-2,0,10,0.4,9,6
chinese,1,0,-1,10,0.8,4,2
chinese,5,6,-6,10,0.8,5,3
chinese,8,-3,-2,10,0.7,6,3
chinese,9,-6,3,10,1.0,5,1
chinese,6,-4,5,10,1.0,2,1
chinese,9,-1,8,10,0.9,4,2
chinese,7,-4,1,10,0.7,7,2
chinese,8,-7,5,10,0.9,7,2
chinese,9,-7,8,10,0.7,6,2
chinese,4,6,4,10,0.6,5,3
chinese,5,-4,3,10,0.8,4,2
chinese,6,-5,5,10,0.8,8,2
chinese,4,-3,1,10,0.7,8,3
chinese,3,1,-5,10,0.6,8,3
chinese,5,8,-2,10,0.5,7,2
chinese,9,-5,-1,10,0.8,9,3
chinese,5,1,-6,10,0.9,2,2
chinese,7,-5,2,10,0.8,6,2
chinese,9,-5,1,10,0.5,10,5
chinese,6,-4,3,10,0.9,8,2
chinese,8,0,7,10,0.7,6,4
chinese,2,4,-7,10,0.9,5,2
chinese,5,7,-1,10,0.4,8,4
chinese,6,-2,-3,10,0.8,8,3
chinese,4,6,-4,10,0.9,5,2
chinese,6,-4,2,10,0.8,9,2
chinese,5,-4,5,10,0.6,7,2
chinese,7,1,6,10,0.7,7,4
chinese,7,4,0,10,1.0,5,1
chinese,5,3,5,10,0.5,6,6
chinese,3,5,2,10,0.8,8,3
chinese,6,8,-2,10,0.8,5,3
chinese,5,-4,2,9,0.8888888888888888,6,2
chinese,6,-2,-4,9,0.8888888888888888,7,2
chinese,8,-1,6,9,0.8888888888888888,6,2
chinese,7,-6,5,9,0.7777777777777778,5,2
chinese,7,-2,0,9,0.5555555555555556,8,5
chinese,4,6,-9,9,0.5555555555555556,6,4
chinese,9,-1,9,9,0.8888888888888888,5,2
chinese,3,5,-8,9,0.5555555555555556,9,3
