lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
english,8,-7,7,670,0.6761194029850747,61,54
english,3,6,-10,593,0.6492411467116358,61,52
english,7,-6,6,460,0.7304347826086957,57,49
english,5,7,6,426,0.8028169014084507,50,43
english,8,-4,-2,394,0.31218274111675126,55,44
english,8,-6,3,368,0.4266304347826087,83,63
english,6,-1,-5,353,0.6147308781869688,54,45
english,8,-5,0,348,0.21551724137931033,63,54
english,7,-2,-4,347,0.5129682997118156,42,35
english,7,-3,-3,335,0.4298507462686567,46,39
english,8,-7,6,334,0.6916167664670658,38,33
english,9,-3,8,332,0.21987951807228914,77,62
english,9,-4,8,323,0.2848297213622291,54,40
english,8,-6,2,322,0.2422360248447205,74,57
english,9,-5,8,317,0.4195583596214511,44,32
english,3,5,-9,314,0.60828025477707,43,37
english,8,-6,7,311,0.6270096463022508,37,31
english,2,4,-7,310,0.532258064516129,40,31
english,5,8,-6,307,0.33876221498371334,62,44
english,4,7,-8,303,0.7557755775577558,41,32
english,6,-5,5,302,0.7317880794701986,43,39
english,8,-6,4,302,0.6225165562913907,61,53
english,7,-4,-1,302,0.3211920529801324,58,44
english,5,8,-7,301,0.5813953488372093,51,39
english,7,-6,5,300,0.7466666666666667,47,42
english,5,1,-7,295,0.8,35,30
english,4,3,-8,294,0.7108843537414966,44,37
english,3,6,-9,289,0.47058823529411764,47,36
english,6,-5,4,288,0.7881944444444444,35,29
english,2,5,-8,286,0.6188811188811189,40,30
english,8,-5,1,286,0.2062937062937063,62,50
english,5,-5,5,283,0.7243816254416962,40,34
english,5,7,5,280,0.8178571428571428,35,30
english,4,4,-9,279,0.6989247311827957,49,44
english,9,-5,-1,278,0.2697841726618705,47,34
english,4,-4,4,278,0.6223021582733813,41,38
english,5,7,1,277,0.5270758122743683,52,43
english,9,-2,8,270,0.5481481481481482,59,50
english,7,-5,2,269,0.3903345724907063,76,63
english,4,2,-7,269,0.7323420074349443,38,28
english,7,-4,0,267,0.31835205992509363,61,53
english,4,7,-9,265,0.5962264150943396,45,39
english,6,-4,1,265,0.2981132075471698,74,62
english,6,-3,-2,264,0.29545454545454547,51,44
english,9,-7,8,263,0.6615969581749049,31,25
english,4,6,5,263,0.6806083650190115,44,37
english,6,-2,-3,263,0.43346007604562736,63,51
english,9,-1,8,262,0.7938931297709924,41,34
english,5,7,4,262,0.7213740458015268,49,42
english,6,-5,3,260,0.7461538461538462,44,36
english,8,-5,7,257,0.4669260700389105,49,41
english,8,-4,-1,256,0.2265625,50,40
english,5,7,3,256,0.5078125,58,46
english,7,-5,6,253,0.691699604743083,37,30
english,5,7,2,252,0.3531746031746032,58,49
english,5,-1,-4,252,0.6071428571428571,61,51
english,5,8,-4,249,0.3534136546184739,38,26
english,5,0,-5,246,0.7235772357723578,40,32
english,4,6,-1,245,0.3224489795918367,51,41
english,6,0,-6,244,0.6188524590163934,49,38
english,7,-3,-2,243,0.3497942386831276,45,37
english,8,1,8,242,0.32644628099173556,59,55
english,5,-2,-2,241,0.29045643153526973,69,59
english,5,-4,5,241,0.7053941908713693,33,26
english,5,-3,0,241,0.23651452282157676,65,59
english,3,-3,3,240,0.5541666666666667,34,29
english,7,-6,4,239,0.7154811715481172,47,39
english,8,-6,6,238,0.6260504201680672,34,31
