lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
french,3,6,-10,17,0.7058823529411765,6,5
french,8,-4,-2,13,0.3076923076923077,7,5
french,7,-5,6,11,0.9090909090909091,6,2
french,7,1,7,11,0.2727272727272727,9,7
french,7,-2,-3,10,0.4,5,4
french,8,-4,-1,10,0.2,6,6
french,5,7,6,10,0.8,4,3
french,8,-3,-2,10,0.5,6,4
french,5,7,-1,10,0.6,6,5
french,8,-7,6,9,0.6666666666666666,6,4
french,9,-3,8,9,0.3333333333333333,7,7
french,4,4,-9,9,0.4444444444444444,5,5
french,5,3,-7,9,0.6666666666666666,4,3
french,4,7,-9,9,0.4444444444444444,6,5
french,2,4,-7,9,0.4444444444444444,7,6
french,5,-1,-4,9,0.6666666666666666,4,4
french,8,-5,1,8,0.25,6,6
french,8,-3,7,8,0.5,7,5
french,6,-3,-2,8,0.25,6,6
french,4,2,-6,8,0.875,4,2
french,8,-6,2,8,0.5,5,5
french,9,-5,8,8,0.75,4,3
french,6,-5,4,8,0.625,4,3
french,4,-1,-3,8,0.75,4,3
french,7,-1,7,8,0.375,5,5
french,3,2,-6,8,0.25,6,5
french,4,4,-8,8,0.625,3,3
