lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
korean,8,-7,7,67,0.3880597014925373,19,15
korean,3,6,-10,54,0.4074074074074074,16,16
korean,7,-6,6,49,0.3877551020408163,11,10
korean,3,5,-9,40,0.325,14,12
korean,8,-6,2,39,0.3076923076923077,20,19
korean,5,7,6,37,0.5135135135135135,6,6
korean,8,-4,-2,37,0.6486486486486487,10,8
korean,6,-5,3,36,0.5833333333333334,8,7
korean,3,-3,3,35,0.2857142857142857,13,11
korean,7,2,7,34,0.20588235294117646,19,17
korean,5,-5,5,33,0.5454545454545454,8,6
korean,2,4,-7,33,0.30303030303030304,16,14
korean,8,-6,7,32,0.625,9,9
korean,8,-6,4,32,0.3125,12,9
korean,6,-5,5,32,0.5,9,8
korean,7,-6,5,32,0.46875,8,7
korean,5,-1,-4,32,0.3125,15,14
korean,4,3,-8,31,0.4838709677419355,10,10
korean,7,0,7,31,0.3225806451612903,14,13
korean,4,6,5,31,0.3225806451612903,14,14
korean,9,-5,-1,30,0.4,15,12
korean,5,-4,3,30,0.5666666666666667,7,6
korean,7,-3,-3,30,0.6666666666666666,11,9
korean,7,-4,0,30,0.3333333333333333,16,15
korean,9,-3,8,29,0.3103448275862069,16,16
korean,8,-7,6,29,0.3793103448275862,8,7
korean,9,-4,8,29,0.6551724137931034,10,9
korean,8,-5,7,29,0.6896551724137931,8,8
korean,4,6,-4,29,0.5172413793103449,8,8
korean,6,-1,-5,28,0.39285714285714285,10,8
korean,7,-4,-1,27,0.2962962962962963,14,12
korean,7,-5,2,27,0.25925925925925924,16,14
korean,8,-5,0,27,0.3333333333333333,10,10
korean,5,8,-7,27,0.5185185185185185,10,9
korean,5,7,2,27,0.2222222222222222,14,14
korean,4,-4,4,27,0.2962962962962963,12,11
korean,8,-5,1,27,0.3333333333333333,9,9
korean,3,6,-9,27,0.25925925925925924,15,13
korean,5,7,-2,27,0.2962962962962963,12,11
korean,5,-4,5,27,0.4074074074074074,10,9
korean,2,3,-6,27,0.4444444444444444,12,12
korean,7,-3,-2,26,0.46153846153846156,12,11
korean,5,1,-6,26,0.5769230769230769,8,8
korean,5,6,6,26,0.23076923076923078,9,8
korean,6,0,-6,26,0.2692307692307692,11,11
korean,5,-2,-2,26,0.46153846153846156,17,15
korean,7,-6,4,26,0.5769230769230769,7,6
korean,7,-6,7,25,0.36,11,11
korean,5,7,4,25,0.4,7,7
korean,5,1,-7,25,0.52,9,9
korean,6,-5,6,25,0.6,6,5
korean,7,-3,6,25,0.24,10,8
korean,5,0,-5,25,0.52,8,8
korean,3,4,-8,25,0.4,8,8
korean,7,-2,-4,25,0.84,5,5
korean,8,-6,5,24,0.5,10,8
korean,6,5,6,24,0.7916666666666666,6,6
korean,9,-6,8,24,0.4583333333333333,10,8
korean,7,3,7,24,0.625,7,7
korean,3,3,-7,24,0.2916666666666667,12,11
korean,5,7,5,24,0.4166666666666667,5,5
korean,9,-5,8,24,0.625,8,7
korean,4,6,-6,24,0.75,7,7
korean,4,7,-7,24,0.75,9,7
korean,6,-4,1,24,0.25,15,13
korean,4,-2,-1,24,0.625,8,7
korean,4,6,-2,23,0.6086956521739131,9,9
korean,2,5,-8,23,0.2608695652173913,14,13
korean,4,-3,0,23,0.5217391304347826,9,8
korean,8,-7,5,23,0.2608695652173913,16,12
korean,4,7,-8,23,0.6521739130434783,10,8
korean,6,-5,4,23,0.7391304347826086,7,7
korean,9,-7,8,23,0.34782608695652173,13,10
