lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
polish,3,6,-10,7,0.5714285714285714,5,4
polish,7,-2,-4,6,0.6666666666666666,3,3
polish,7,-6,6,5,0.6,3,3
polish,5,0,-5,5,0.8,2,2
polish,4,6,-8,5,1.0,1,1
polish,9,-6,2,5,0.2,5,5
polish,4,6,4,5,0.8,2,2
polish,6,5,6,4,0.75,3,2
polish,6,-2,-4,4,0.5,3,3
polish,9,-2,4,4,0.5,4,3
polish,9,-5,8,4,0.75,2,2
polish,5,1,-6,4,0.75,2,2
polish,7,-1,-2,4,0.5,4,3
polish,3,6,-9,4,1.0,1,1
polish,6,0,5,4,0.5,3,3
polish,9,0,-1,4,0.25,4,4
polish,6,6,4,4,0.5,3,3
polish,8,-7,7,4,0.75,3,2
polish,4,4,-9,4,0.5,3,3
polish,3,-1,-2,4,0.75,2,2
polish,7,-2,7,4,1.0,1,1
polish,8,-5,6,4,0.5,3,3
polish,9,-4,-1,4,0.25,4,4
polish,8,-1,5,4,0.25,4,4
polish,7,3,7,4,1.0,1,1
polish,7,-6,7,4,0.75,2,2
polish,5,7,1,4,0.5,3,3
polish,5,-3,4,4,0.75,2,2
polish,2,-2,1,4,0.25,4,4
polish,6,-2,-3,4,0.75,2,2
polish,6,0,-6,4,0.75,2,2
polish,4,2,-5,4,0.5,3,3
polish,4,6,2,4,0.25,4,4
polish,2,2,-5,4,0.5,2,2
polish,8,-6,4,4,0.5,3,3
polish,4,6,0,4,0.25,4,4
