lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
portuguese,8,-5,7,10,0.5,7,6
portuguese,8,-7,7,9,0.7777777777777778,4,3
portuguese,7,-6,6,8,0.75,3,3
portuguese,8,1,8,7,0.2857142857142857,6,6
portuguese,3,5,-9,6,1.0,2,1
portuguese,4,6,5,6,0.6666666666666666,3,3
portuguese,5,-3,0,6,0.3333333333333333,6,5
portuguese,8,-4,6,6,0.3333333333333333,3,3
portuguese,1,1,-3,6,0.3333333333333333,4,3
portuguese,3,6,-10,6,0.6666666666666666,3,3
portuguese,7,0,-2,6,0.6666666666666666,5,3
portuguese,8,-7,5,5,0.6,4,3
portuguese,9,-4,2,5,0.2,5,5
portuguese,8,2,4,5,0.2,5,5
portuguese,8,0,8,5,0.8,2,2
portuguese,8,-6,3,5,0.6,3,3
portuguese,2,5,-8,5,0.8,2,2
portuguese,4,2,-6,5,1.0,2,1
portuguese,8,1,6,5,0.4,4,4
portuguese,3,5,2,5,0.8,2,2
portuguese,5,2,-2,5,0.4,5,4
portuguese,7,-3,3,5,0.4,4,4
portuguese,6,-5,5,5,0.8,3,2
portuguese,7,-6,3,5,0.8,2,2
portuguese,6,8,-3,5,0.4,4,4
portuguese,5,-3,-1,5,0.4,4,4
portuguese,10,-2,9,5,0.6,3,3
portuguese,7,-1,7,5,0.2,5,5
portuguese,6,4,-4,4,0.75,2,2
portuguese,3,3,-3,4,0.75,2,2
portuguese,5,-4,4,4,0.75,2,2
portuguese,6,1,6,4,0.25,4,4
portuguese,5,-1,-1,4,0.75,2,2
portuguese,9,-6,3,4,0.5,3,3
portuguese,2,2,-4,4,0.25,4,4
portuguese,1,3,0,4,0.25,4,4
portuguese,6,9,-6,4,0.25,4,4
portuguese,5,6,6,4,0.25,4,4
portuguese,3,3,-4,4,0.5,3,3
portuguese,5,7,4,4,0.75,3,2
portuguese,7,2,6,4,0.75,2,2
portuguese,3,-2,3,4,0.25,4,4
portuguese,8,1,4,4,0.5,3,3
portuguese,8,-1,-2,4,0.75,2,2
portuguese,5,3,5,4,0.5,3,3
portuguese,5,8,0,4,0.25,4,4
portuguese,3,0,-3,4,0.5,4,3
portuguese,5,0,-6,4,0.75,2,2
portuguese,5,7,2,4,0.25,4,4
portuguese,6,-3,-2,4,0.25,4,4
