lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
russian,8,-4,-2,7,0.7142857142857143,2,2
russian,9,-2,8,7,0.42857142857142855,6,4
russian,8,-7,5,6,0.8333333333333334,5,2
russian,3,-3,3,6,1.0,2,1
russian,5,5,-3,6,0.3333333333333333,6,5
russian,9,0,5,6,0.5,4,4
russian,4,6,-4,6,0.3333333333333333,5,5
russian,7,4,-3,6,0.6666666666666666,4,3
russian,7,-3,-3,6,0.8333333333333334,3,2
russian,3,4,-7,6,0.5,5,3
russian,8,1,1,6,0.5,4,4
russian,1,-1,1,6,0.5,3,3
russian,5,7,-2,6,0.6666666666666666,3,3
russian,9,-6,8,5,0.6,3,2
russian,9,-5,4,5,0.6,4,2
russian,7,-1,7,5,0.4,4,4
russian,5,-1,3,5,0.4,4,4
russian,3,-2,0,5,0.6,5,3
russian,3,0,-3,5,1.0,3,1
russian,9,-7,8,5,0.6,3,2
russian,8,2,3,5,0.4,4,4
russian,5,0,-5,5,1.0,2,1
russian,8,-6,4,5,0.8,5,2
russian,8,-7,7,5,0.6,5,3
russian,6,6,5,5,0.4,5,4
russian,6,1,-6,5,0.6,3,2
russian,5,0,-6,5,0.4,3,3
russian,3,6,-10,5,1.0,2,1
russian,6,2,-1,5,0.4,5,4
russian,8,-1,-1,5,1.0,3,1
russian,6,0,-4,5,0.4,4,4
russian,7,-2,7,5,0.6,4,3
russian,5,-2,-1,5,0.4,5,3
russian,5,7,4,5,1.0,1,1
russian,5,7,1,4,0.25,4,4
russian,4,7,-8,4,0.75,2,2
russian,8,-2,0,4,0.25,4,4
russian,4,7,4,4,1.0,2,1
russian,5,-3,-1,4,0.25,4,4
russian,8,-5,1,4,0.25,4,4
russian,4,7,-3,4,0.75,2,2
russian,7,2,5,4,0.25,4,4
russian,9,-3,-1,4,0.75,3,2
russian,8,1,-2,4,0.25,4,4
russian,2,5,-8,4,1.0,3,1
russian,9,-2,5,4,0.75,4,2
russian,9,-1,-1,4,1.0,2,1
russian,7,1,6,4,0.25,4,4
russian,4,4,3,4,0.5,4,3
russian,8,-6,2,4,0.5,3,3
russian,5,5,-6,4,0.5,4,3
russian,4,2,-6,4,1.0,1,1
russian,6,1,-2,4,0.5,3,3
russian,7,3,6,4,0.75,2,2
russian,6,6,-1,4,1.0,1,1
russian,7,-6,6,4,0.75,3,2
russian,3,5,-2,4,0.25,4,4
russian,9,-3,2,4,0.5,4,3
russian,3,2,-2,4,1.0,2,1
russian,8,-5,-1,4,0.25,4,4
russian,7,-4,6,4,0.5,3,2
russian,6,-5,5,4,1.0,3,1
russian,6,1,-1,4,0.75,3,2
russian,5,-3,5,4,0.75,2,2
russian,5,-2,-3,4,0.5,4,3
russian,5,8,-5,4,0.25,4,4
russian,7,-6,5,4,1.0,2,1
russian,4,-2,2,4,0.5,3,2
russian,9,-5,-1,4,0.5,3,3
russian,5,-4,4,4,1.0,1,1
russian,3,5,3,4,0.5,3,3
russian,7,-3,0,4,0.25,4,4
russian,7,-4,1,4,0.5,4,3
russian,4,7,-9,4,0.75,3,2
russian,6,8,0,4,0.75,3,2
russian,5,7,3,4,0.75,2,2
russian,3,7,-10,4,0.5,3,3
russian,4,4,-3,4,0.5,3,3
russian,9,-3,1,4,0.5,3,2
russian,5,2,-6,4,0.75,4,2
