lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
spanish,3,6,-10,16,0.5625,10,8
spanish,4,-4,4,14,0.7142857142857143,6,5
spanish,8,-4,-2,14,0.2857142857142857,9,9
spanish,8,-7,7,12,0.8333333333333334,5,3
spanish,8,-6,7,12,0.75,5,4
spanish,3,1,-5,12,0.5,7,6
spanish,9,-5,-1,12,0.25,9,9
spanish,4,4,-9,11,0.8181818181818182,4,3
spanish,5,8,6,11,0.8181818181818182,4,3
spanish,2,4,-7,11,0.2727272727272727,9,8
spanish,4,3,-8,11,0.45454545454545453,6,6
spanish,3,5,-9,11,0.5454545454545454,6,6
spanish,4,6,-5,11,0.36363636363636365,6,5
spanish,4,6,5,11,0.7272727272727273,4,4
spanish,8,1,-1,10,0.3,9,8
spanish,5,-2,5,10,0.7,3,3
spanish,6,-3,-1,10,0.5,5,4
spanish,5,8,-5,10,0.3,8,6
spanish,8,-5,0,10,0.5,7,6
spanish,8,-6,6,10,0.6,5,5
spanish,6,0,-6,10,0.7,4,3
spanish,7,4,0,10,0.8,4,3
spanish,5,6,-6,10,0.6,4,4
spanish,2,5,-8,10,0.7,5,4
spanish,6,-4,2,10,0.6,7,5
spanish,7,-4,0,10,0.6,5,5
spanish,7,-6,7,9,0.5555555555555556,5,5
spanish,5,-3,-1,9,0.3333333333333333,8,7
spanish,4,6,1,9,0.2222222222222222,8,8
spanish,9,-2,4,9,0.3333333333333333,8,6
spanish,5,1,-6,9,0.4444444444444444,5,5
spanish,5,8,-7,9,0.4444444444444444,7,6
spanish,7,0,7,9,0.2222222222222222,6,6
spanish,9,-7,7,9,0.3333333333333333,5,4
spanish,4,-1,4,9,0.5555555555555556,6,5
spanish,5,7,6,9,0.8888888888888888,3,2
spanish,7,-6,6,9,0.6666666666666666,4,4
spanish,5,7,-1,9,0.4444444444444444,4,4
spanish,4,1,-2,9,0.3333333333333333,6,6
spanish,9,-6,8,9,0.3333333333333333,6,6
spanish,3,0,-3,9,0.4444444444444444,7,6
spanish,5,7,0,9,0.6666666666666666,5,4
spanish,6,-5,4,9,0.6666666666666666,4,4
spanish,9,-6,7,9,0.4444444444444444,8,6
spanish,4,-2,-2,9,0.4444444444444444,6,6
spanish,4,0,3,9,0.2222222222222222,6,6
spanish,9,-1,2,9,0.5555555555555556,7,4
spanish,5,-1,5,9,0.3333333333333333,7,7
spanish,5,-1,-4,9,0.7777777777777778,3,3
spanish,5,0,-4,9,0.7777777777777778,5,3
spanish,4,5,-2,9,0.2222222222222222,8,8
spanish,3,3,2,9,0.4444444444444444,7,5
spanish,7,4,2,9,0.3333333333333333,6,6
spanish,6,7,-2,8,0.25,7,7
spanish,9,-6,1,8,0.25,7,7
spanish,9,0,8,8,1.0,1,1
spanish,4,-3,1,8,0.5,6,5
spanish,6,7,-5,8,0.25,7,7
spanish,2,0,-3,8,0.5,4,3
spanish,3,5,-5,8,0.625,4,3
spanish,4,7,-9,8,0.375,6,6
spanish,9,-4,8,8,0.25,7,7
spanish,9,-1,5,8,0.625,5,4
spanish,6,-4,1,8,0.625,4,4
spanish,9,-3,7,8,0.5,5,5
spanish,6,1,-6,8,0.375,5,5
spanish,6,3,-4,8,0.625,3,3
spanish,8,-5,2,8,0.5,6,5
spanish,9,-2,-1,8,0.375,6,5
spanish,5,7,-4,8,0.25,5,5
spanish,2,-1,-1,8,0.375,6,5
spanish,8,-1,1,8,0.375,6,5
spanish,5,6,6,8,0.5,4,4
spanish,8,-5,4,8,0.875,3,2
spanish,4,6,4,8,1.0,2,1
spanish,9,-4,6,8,0.5,5,4
spanish,4,5,5,8,0.5,6,5
spanish,5,8,-6,8,0.25,8,7
spanish,4,4,-8,8,0.375,7,6
spanish,2,4,0,8,0.375,6,6
spanish,7,3,7,8,0.75,3,3
spanish,3,3,-1,8,0.5,4,3
spanish,5,2,-7,8,0.5,4,4
spanish,6,-2,-3,8,0.375,7,6
spanish,9,-1,8,8,1.0,2,1
spanish,7,3,4,8,0.375,6,5
spanish,3,-1,-2,8,0.375,6,5
spanish,1,1,-3,8,0.625,5,4
spanish,6,-2,6,8,0.25,7,7
spanish,6,-3,-2,8,0.25,7,7
spanish,9,-2,8,8,0.75,4,3
spanish,7,1,1,8,0.375,7,6
