lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
chinese,7,-2,-4,0,53,179,243,天蓝色
chinese,7,-2,-4,1,53,179,243,天蓝色
chinese,7,-2,-4,2,53,179,243,天蓝色
chinese,8,-4,-2,0,68,207,215,青色
chinese,8,-4,-2,1,68,207,215,青色
chinese,8,-4,-2,2,68,207,215,青色
chinese,4,3,-8,0,36,93,246,蓝色
chinese,4,3,-8,1,36,93,246,蓝色
chinese,4,3,-8,2,36,93,246,蓝色
chinese,8,-7,7,0,20,241,40,绿色
chinese,8,-7,7,1,20,241,40,绿色
chinese,8,-7,7,2,20,241,40,绿色
chinese,6,8,-5,0,247,56,247,粉色
chinese,6,8,-5,1,247,56,247,粉色
chinese,6,8,-5,2,247,56,247,粉色
chinese,8,-4,7,0,139,215,46,绿
chinese,8,-4,7,1,139,215,46,黄绿色
chinese,8,-4,7,2,139,215,46,草绿
chinese,8,-4,-1,0,79,221,223,青色
chinese,8,-4,-1,1,79,221,223,青色
chinese,8,-4,-1,2,79,221,223,青色
chinese,6,-4,0,0,50,170,157,青色
chinese,6,-4,0,1,50,170,157,青色
chinese,6,-4,0,2,50,170,157,青色
chinese,3,4,-8,0,25,36,192,蓝色
chinese,3,4,-8,1,25,36,192,蓝色
chinese,3,4,-8,2,25,36,192,蓝色
chinese,8,-7,6,0,25,234,79,绿色
chinese,8,-7,6,1,25,234,79,绿色
chinese,8,-7,6,2,25,234,79,绿色
chinese,4,2,-7,0,23,91,208,蓝色
chinese,4,2,-7,1,23,91,208,蓝色
chinese,4,2,-7,2,23,91,208,蓝色
chinese,4,1,-6,0,24,96,191,蓝色
chinese,4,1,-6,1,24,96,191,蓝色
chinese,4,1,-6,2,24,96,191,蓝色
chinese,6,-6,6,0,17,177,7,绿色
chinese,6,-6,6,1,17,177,7,绿色
chinese,6,-6,6,2,17,177,7,绿色
chinese,9,-5,8,0,147,253,35,荧光绿
chinese,9,-5,8,1,147,253,35,黄绿色
chinese,9,-5,8,2,147,253,35,荧光绿
chinese,5,7,5,0,213,21,39,红色
chinese,5,7,5,1,213,21,39,红色
chinese,5,7,5,2,213,21,39,红色
chinese,3,6,-10,0,53,4,233,紫色
chinese,3,6,-10,1,53,4,233,紫色
chinese,3,6,-10,2,53,4,233,紫色
chinese,6,-1,-5,0,50,156,234,蓝色
chinese,6,-1,-5,1,50,156,234,天蓝色
chinese,6,-1,-5,2,50,156,234,蓝色
chinese,5,7,6,0,239,52,11,橙色
chinese,5,7,6,1,239,52,11,橙色
chinese,5,7,6,2,239,52,11,橙色
chinese,4,7,-9,0,124,2,243,紫色
chinese,4,7,-9,1,124,2,243,紫色
chinese,4,7,-9,2,124,2,243,紫色
chinese,8,-6,7,0,116,230,52,荧光绿
