lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
english,8,-7,7,0,20,241,40,Green.
english,8,-7,7,1,20,241,40,Green.
english,8,-7,7,2,20,241,40,Green
english,3,6,-10,0,53,4,233,Purple
english,3,6,-10,1,53,4,233,Purple
english,3,6,-10,2,53,4,233,Purple
english,7,-6,6,0,73,203,38,Lime
english,7,-6,6,1,73,203,38,Green
english,7,-6,6,2,73,203,38,Green.
english,5,7,6,0,239,52,11,Red.
english,5,7,6,1,239,52,11,Red.
english,5,7,6,2,239,52,11,Red
english,8,-4,-2,0,68,207,215,Turquoise
english,8,-4,-2,1,68,207,215,Turquoise
english,8,-4,-2,2,68,207,215,Turquoise
english,8,-6,3,0,64,211,117,Mint green
english,8,-6,3,1,64,211,117,Mint green.
english,8,-6,3,2,64,211,117,Mint green
english,6,-1,-5,0,50,156,234,Sky blue
english,6,-1,-5,1,50,156,234,Sky blue
english,6,-1,-5,2,50,156,234,Sky blue.
english,8,-5,0,0,20,236,208,Turquoise
english,8,-5,0,1,20,236,208,Turquoise
english,8,-5,0,2,20,236,208,Turquoise
english,7,-2,-4,0,53,179,243,Sky blue
english,7,-2,-4,1,53,179,243,Sky blue
english,7,-2,-4,2,53,179,243,Sky blue
english,7,-3,-3,0,20,190,228,Cyan
english,7,-3,-3,1,20,190,228,Sky blue
english,7,-3,-3,2,20,190,228,Turquoise
english,8,-7,6,0,25,234,79,Green.
english,8,-7,6,1,25,234,79,Green
english,8,-7,6,2,25,234,79,Green
english,9,-3,8,0,203,253,52,Lime
english,9,-3,8,1,203,253,52,Lime
english,9,-3,8,2,203,253,52,Lime
english,9,-4,8,0,180,238,45,Lime
english,9,-4,8,1,180,238,45,Lime
english,9,-4,8,2,180,238,45,Lime
english,8,-6,2,0,32,214,145,Turquoise.
english,8,-6,2,1,32,214,145,Turquoise
english,8,-6,2,2,32,214,145,Mint
english,9,-5,8,0,147,253,35,Lime
english,9,-5,8,1,147,253,35,Lime
english,9,-5,8,2,147,253,35,Lime
english,3,5,-9,0,37,53,226,Blue
english,3,5,-9,1,37,53,226,Blue.
english,3,5,-9,2,37,53,226,Blue
english,8,-6,7,0,116,230,52,Lime
english,8,-6,7,1,116,230,52,Lime
english,8,-6,7,2,116,230,52,Lime
english,2,4,-7,0,2,16,138,Blue
english,2,4,-7,1,2,16,138,Blue
english,2,4,-7,2,2,16,138,Blue
english,5,8,-6,0,206,43,240,Purple
english,5,8,-6,1,206,43,240,Purple
english,5,8,-6,2,206,43,240,Purple
english,4,7,-8,0,135,20,227,Purple
english,4,7,-8,1,135,20,227,Purple
english,4,7,-8,2,135,20,227,Purple
english,6,-5,5,0,36,168,48,Green
english,6,-5,5,1,36,168,48,Green
english,6,-5,5,2,36,168,48,Green
english,8,-6,4,0,43,238,136,Mint green.
english,8,-6,4,1,43,238,136,Mint
english,8,-6,4,2,43,238,136,Mint green
english,7,-4,-1,0,21,196,200,Turquoise
english,7,-4,-1,1,21,196,200,Turquoise
english,7,-4,-1,2,21,196,200,Turquoise
english,5,8,-7,0,195,46,251,Purple
english,5,8,-7,1,195,46,251,Purple
english,5,8,-7,2,195,46,251,Purple
english,7,-6,5,0,52,203,64,Green.
english,7,-6,5,1,52,203,64,Green.
english,7,-6,5,2,52,203,64,Green
english,5,1,-7,0,12,122,254,Blue
english,5,1,-7,1,12,122,254,Blue
english,5,1,-7,2,12,122,254,Blue
english,4,3,-8,0,36,93,246,Blue
