lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
french,3,6,-10,0,53,4,233,Violet
french,3,6,-10,1,53,4,233,Violet.
french,3,6,-10,2,53,4,233,Violet.
french,8,-4,-2,0,68,207,215,Turquoise
french,8,-4,-2,1,68,207,215,Turquoise.
french,8,-4,-2,2,68,207,215,Turquoise.
french,7,-5,6,0,72,180,30,Vert
french,7,-5,6,1,72,180,30,Vert.
french,7,-5,6,2,72,180,30,Vert.
french,7,1,7,0,218,170,15,Jaune.
french,7,1,7,1,218,170,15,Jaune.
french,7,1,7,2,218,170,15,Jaune
french,7,-2,-3,0,83,178,215,Bleu ciel
french,7,-2,-3,1,83,178,215,Bleu ciel
french,7,-2,-3,2,83,178,215,Bleu ciel
french,8,-4,-1,0,79,221,223,Turquoise.
french,8,-4,-1,1,79,221,223,Turquoise.
french,8,-4,-1,2,79,221,223,Turquoise.
french,5,7,6,0,239,52,11,Rouge.
french,5,7,6,1,239,52,11,Rouge.
french,5,7,6,2,239,52,11,Rouge.
french,8,-3,-2,0,75,213,228,Turquoise
french,8,-3,-2,1,75,213,228,Turquoise.
french,8,-3,-2,2,75,213,228,Turquoise.
french,5,7,-1,0,234,45,150,Rose.
french,5,7,-1,1,234,45,150,Rose
french,5,7,-1,2,234,45,150,Rose.
french,8,-7,6,0,25,234,79,Vert fluo
french,8,-7,6,1,25,234,79,Vert fluo.
french,8,-7,6,2,25,234,79,Vert.
french,9,-3,8,0,203,253,52,Citron vert.
french,9,-3,8,1,203,253,52,Citron vert.
french,9,-3,8,2,203,253,52,Vert citron
french,4,4,-9,0,52,64,236,Bleu
french,4,4,-9,1,52,64,236,Bleu
french,4,4,-9,2,52,64,236,Bleu
french,5,3,-7,0,117,115,253,Violet
french,5,3,-7,1,117,115,253,Lavande.
french,5,3,-7,2,117,115,253,Violet.
french,4,7,-9,0,124,2,243,Violet
french,4,7,-9,1,124,2,243,Violet
french,4,7,-9,2,124,2,243,Violet
french,2,4,-7,0,2,16,138,Bleu
french,2,4,-7,1,2,16,138,Bleu marine.
french,2,4,-7,2,2,16,138,Bleu.
french,5,-1,-4,0,23,130,189,Bleu
french,5,-1,-4,1,23,130,189,Bleu.
french,5,-1,-4,2,23,130,189,Bleu
french,8,-5,1,0,27,215,159,Turquoise.
french,8,-5,1,1,27,215,159,Turquoise.
french,8,-5,1,2,27,215,159,Turquoise
french,8,-3,7,0,163,208,29,Citron vert
french,8,-3,7,1,163,208,29,Vert citron
french,8,-3,7,2,163,208,29,Vert pomme
french,6,-3,-2,0,16,160,170,Turquoise.
french,6,-3,-2,1,16,160,170,Turquoise.
french,6,-3,-2,2,16,160,170,Turquoise
french,4,2,-6,0,95,94,199,Bleu-violet.
french,4,2,-6,1,95,94,199,Violet.
french,4,2,-6,2,95,94,199,Violet.
french,8,-6,2,0,32,214,145,Turquoise.
french,8,-6,2,1,32,214,145,Vert menthe.
french,8,-6,2,2,32,214,145,Turquoise
french,9,-5,8,0,147,253,35,Vert pomme
french,9,-5,8,1,147,253,35,Vert fluo.
french,9,-5,8,2,147,253,35,Vert fluo
french,6,-5,4,0,61,178,72,Vert.
french,6,-5,4,1,61,178,72,Vert.
french,6,-5,4,2,61,178,72,Vert.
french,4,-1,-3,0,37,104,141,Bleu
french,4,-1,-3,1,37,104,141,Bleu
french,4,-1,-3,2,37,104,141,Bleu
french,7,-1,7,0,177,171,16,Olive
french,7,-1,7,1,177,171,16,Olive.
french,7,-1,7,2,177,171,16,Olive
french,3,2,-6,0,35,68,172,Bleu
french,3,2,-6,1,35,68,172,Bleu
french,3,2,-6,2,35,68,172,Bleu
french,4,4,-8,0,96,83,234,Violet
french,4,4,-8,1,96,83,234,Violet.
french,4,4,-8,2,96,83,234,Violet.
