lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
german,4,3,-8,0,36,93,246,Blau
german,4,3,-8,1,36,93,246,Blau
german,4,3,-8,2,36,93,246,Blau
german,9,-1,8,0,248,246,48,Gelb
german,9,-1,8,1,248,246,48,Gelb
german,9,-1,8,2,248,246,48,Gelb.
german,5,-4,5,0,68,135,23,Grün
german,5,-4,5,1,68,135,23,Grün
german,5,-4,5,2,68,135,23,Grün
german,9,-3,8,0,203,253,52,Neongrün
german,9,-3,8,1,203,253,52,Neongrün
german,9,-3,8,2,203,253,52,Neongrün
german,6,-4,0,0,50,170,157,Türkis
german,6,-4,0,1,50,170,157,Türkis
german,6,-4,0,2,50,170,157,Türkis
german,3,6,-10,0,53,4,233,Violett
german,3,6,-10,1,53,4,233,Violett
german,3,6,-10,2,53,4,233,Violett
german,7,-3,-2,0,64,192,202,Türkis
german,7,-3,-2,1,64,192,202,Türkis
german,7,-3,-2,2,64,192,202,Türkis
german,3,2,-6,0,35,68,172,Blau
german,3,2,-6,1,35,68,172,Blau.
german,3,2,-6,2,35,68,172,Blau.
german,6,0,-5,0,65,138,228,Blau
german,6,0,-5,1,65,138,228,Blau
german,6,0,-5,2,65,138,228,Blau
german,7,-6,6,0,73,203,38,Grün
german,7,-6,6,1,73,203,38,Grün.
german,7,-6,6,2,73,203,38,Grün
german,8,-5,1,0,27,215,159,Türkis
german,8,-5,1,1,27,215,159,Türkis
german,8,-5,1,2,27,215,159,Türkis
german,6,-5,5,0,36,168,48,Grün
german,6,-5,5,1,36,168,48,Grün
german,6,-5,5,2,36,168,48,Grün
german,4,-3,1,0,38,96,68,Dunkelgrün
german,4,-3,1,1,38,96,68,Dunkelgrün
german,4,-3,1,2,38,96,68,Dunkelgrün
german,8,-2,7,0,171,195,41,Limonengrün
german,8,-2,7,1,171,195,41,Lindgrün
german,8,-2,7,2,171,195,41,Limonengrün
german,2,1,-4,0,26,51,112,Dunkelblau
german,2,1,-4,1,26,51,112,Dunkelblau
german,2,1,-4,2,26,51,112,Dunkelblau
german,8,-7,7,0,20,241,40,Grün
german,8,-7,7,1,20,241,40,Grün
german,8,-7,7,2,20,241,40,Grün.
german,8,0,7,0,232,210,62,Gelb
german,8,0,7,1,232,210,62,Gelb
german,8,0,7,2,232,210,62,Gelb
german,8,-7,6,0,25,234,79,Grün
german,8,-7,6,1,25,234,79,Grün.
german,8,-7,6,2,25,234,79,Grün
german,8,-4,-2,0,68,207,215,Türkis
german,8,-4,-2,1,68,207,215,Türkis
german,8,-4,-2,2,68,207,215,Türkis.
german,6,-5,3,0,27,172,86,Grün
german,6,-5,3,1,27,172,86,Grün
german,6,-5,3,2,27,172,86,Grün
german,9,-4,8,0,180,238,45,Neongrün
german,9,-4,8,1,180,238,45,Limonengrün
german,9,-4,8,2,180,238,45,Neongrün
german,8,-3,-1,0,117,207,217,Türkis.
german,8,-3,-1,1,117,207,217,Türkis
german,8,-3,-1,2,117,207,217,Türkis.
german,5,-1,5,0,133,130,20,Olivgrün
german,5,-1,5,1,133,130,20,Olivgrün
german,5,-1,5,2,133,130,20,Olivgrün
german,3,5,0,0,152,20,89,Purpur.
german,3,5,0,1,152,20,89,Purpur
german,3,5,0,2,152,20,89,Purpur
german,5,-4,4,0,55,137,35,Grün
german,5,-4,4,1,55,137,35,Grün
german,5,-4,4,2,55,137,35,Grün.
german,6,-4,6,0,96,158,19,Grün
german,6,-4,6,1,96,158,19,Grün
german,6,-4,6,2,96,158,19,Grün
german,4,-4,4,0,16,117,14,Grün
german,4,-4,4,1,16,117,14,Grün
german,4,-4,4,2,16,117,14,Grün
german,4,1,-6,0,24,96,191,Blau
german,4,1,-6,1,24,96,191,Blau
