lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
korean,8,-7,7,0,20,241,40,초록색
korean,8,-7,7,1,20,241,40,초록색
korean,8,-7,7,2,20,241,40,초록색
korean,3,6,-10,0,53,4,233,보라색
korean,3,6,-10,1,53,4,233,보라색
korean,3,6,-10,2,53,4,233,보라색
korean,7,-6,6,0,73,203,38,연두색
korean,7,-6,6,1,73,203,38,초록색
korean,7,-6,6,2,73,203,38,초록색
korean,3,5,-9,0,37,53,226,파랑
korean,3,5,-9,1,37,53,226,파랑
korean,3,5,-9,2,37,53,226,파랑
korean,8,-6,2,0,32,214,145,청록색
korean,8,-6,2,1,32,214,145,초록색
korean,8,-6,2,2,32,214,145,청록색
korean,5,7,6,0,239,52,11,빨강
korean,5,7,6,1,239,52,11,빨간색
korean,5,7,6,2,239,52,11,주황색
korean,8,-4,-2,0,68,207,215,하늘색
korean,8,-4,-2,1,68,207,215,하늘색
korean,8,-4,-2,2,68,207,215,청록색
korean,6,-5,3,0,27,172,86,초록색
korean,6,-5,3,1,27,172,86,초록색
korean,6,-5,3,2,27,172,86,초록색
korean,3,-3,3,0,2,77,2,초록색
korean,3,-3,3,1,2,77,2,초록색
korean,3,-3,3,2,2,77,2,초록색
korean,7,2,7,0,244,167,36,주황색
korean,7,2,7,1,244,167,36,주황색
korean,7,2,7,2,244,167,36,주황색
korean,5,-5,5,0,4,139,24,초록색
korean,5,-5,5,1,4,139,24,초록색
korean,5,-5,5,2,4,139,24,초록색
korean,2,4,-7,0,2,16,138,파랑
korean,2,4,-7,1,2,16,138,파랑
korean,2,4,-7,2,2,16,138,파랑
korean,8,-6,7,0,116,230,52,연두색
korean,8,-6,7,1,116,230,52,연두색
korean,8,-6,7,2,116,230,52,연두색
korean,8,-6,4,0,43,238,136,초록색
korean,8,-6,4,1,43,238,136,초록색
korean,8,-6,4,2,43,238,136,초록색
korean,6,-5,5,0,36,168,48,초록색
korean,6,-5,5,1,36,168,48,초록색
korean,6,-5,5,2,36,168,48,초록색
korean,7,-6,5,0,52,203,64,초록색
korean,7,-6,5,1,52,203,64,초록색
korean,7,-6,5,2,52,203,64,초록색
korean,5,-1,-4,0,23,130,189,파랑
korean,5,-1,-4,1,23,130,189,파랑
korean,5,-1,-4,2,23,130,189,파랑
korean,4,3,-8,0,36,93,246,파랑
korean,4,3,-8,1,36,93,246,파랑
korean,4,3,-8,2,36,93,246,파랑
korean,7,0,7,0,198,181,19,노랑
korean,7,0,7,1,198,181,19,노랑
korean,7,0,7,2,198,181,19,노랑
korean,4,6,5,0,191,30,14,빨강
korean,4,6,5,1,191,30,14,빨강
korean,4,6,5,2,191,30,14,빨강
korean,9,-5,-1,0,47,240,229,청록색
korean,9,-5,-1,1,47,240,229,민트색
korean,9,-5,-1,2,47,240,229,청록색
korean,5,-4,3,0,66,141,70,초록색
korean,5,-4,3,1,66,141,70,초록색
korean,5,-4,3,2,66,141,70,초록색
korean,7,-3,-3,0,20,190,228,하늘색
korean,7,-3,-3,1,20,190,228,하늘색
korean,7,-3,-3,2,20,190,228,하늘색
korean,7,-4,0,0,66,182,157,청록색
korean,7,-4,0,1,66,182,157,민트색
korean,7,-4,0,2,66,182,157,청록색
korean,9,-3,8,0,203,253,52,연두색
korean,9,-3,8,1,203,253,52,연두색
korean,9,-3,8,2,203,253,52,연두색
korean,8,-7,6,0,25,234,79,초록색
korean,8,-7,6,1,25,234,79,초록색
korean,8,-7,6,2,25,234,79,초록색
korean,9,-4,8,0,180,238,45,연두색
korean,9,-4,8,1,180,238,45,연두색
korean,9,-4,8,2,180,238,45,연두색
korean,8,-5,7,0,111,220,8,초록색
korean,8,-5,7,1,111,220,8,연두색
korean,8,-5,7,2,111,220,8,연두색
korean,4,6,-4,0,167,40,174,보라색
korean,4,6,-4,1,167,40,174,보라색
korean,4,6,-4,2,167,40,174,보라색
korean,6,-1,-5,0,50,156,234,파랑
korean,6,-1,-5,1,50,156,234,파랑
korean,6,-1,-5,2,50,156,234,파랑
korean,7,-4,-1,0,21,196,200,청록색
korean,7,-4,-1,1,21,196,200,청록색
korean,7,-4,-1,2,21,196,200,청록색
korean,7,-5,2,0,53,194,141,청록색
korean,7,-5,2,1,53,194,141,청록색
korean,7,-5,2,2,53,194,141,청록색
korean,8,-5,0,0,20,236,208,민트색
korean,8,-5,0,1,20,236,208,청록색
korean,8,-5,0,2,20,236,208,민트색
korean,5,8,-7,0,195,46,251,보라색
korean,5,8,-7,1,195,46,251,보라색
korean,5,8,-7,2,195,46,251,보라색
korean,5,7,2,0,222,17,81,빨강
korean,5,7,2,1,222,17,81,분홍색
korean,5,7,2,2,222,17,81,빨강
korean,4,-4,4,0,16,117,14,초록색
korean,4,-4,4,1,16,117,14,초록색
korean,4,-4,4,2,16,117,14,초록색
korean,8,-5,1,0,27,215,159,민트색
korean,8,-5,1,1,27,215,159,청록색
korean,8,-5,1,2,27,215,159,청록색
korean,3,6,-9,0,80,11,216,보라색
korean,3,6,-9,1,80,11,216,보라색
korean,3,6,-9,2,80,11,216,보라색
korean,5,7,-2,0,209,20,152,자홍색
korean,5,7,-2,1,209,20,152,자주색
korean,5,7,-2,2,209,20,152,자홍색
korean,5,-4,5,0,68,135,23,초록색
korean,5,-4,5,1,68,135,23,초록색
