lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
polish,3,6,-10,0,53,4,233,Fioletowy
polish,3,6,-10,1,53,4,233,Fioletowy
polish,3,6,-10,2,53,4,233,Fioletowy
polish,7,-2,-4,0,53,179,243,Błękitny
polish,7,-2,-4,1,53,179,243,Błękitny.
polish,7,-2,-4,2,53,179,243,Niebieski.
polish,7,-6,6,0,73,203,38,Zielony.
polish,7,-6,6,1,73,203,38,Zielony
polish,7,-6,6,2,73,203,38,Zielony.
polish,5,0,-5,0,12,123,211,Niebieski.
polish,5,0,-5,1,12,123,211,Niebieski.
polish,5,0,-5,2,12,123,211,Niebieski.
polish,4,6,-8,0,125,51,243,Fioletowy
polish,4,6,-8,1,125,51,243,Fioletowy
polish,4,6,-8,2,125,51,243,Fioletowy
polish,9,-6,2,0,93,250,175,Miętowy
polish,9,-6,2,1,93,250,175,Miętowy
polish,9,-6,2,2,93,250,175,Miętowy.
polish,4,6,4,0,191,25,38,Czerwony.
polish,4,6,4,1,191,25,38,Czerwony
polish,4,6,4,2,191,25,38,Czerwony
polish,6,5,6,0,231,92,26,Pomarańczowy.
polish,6,5,6,1,231,92,26,Pomarańczowy
polish,6,5,6,2,231,92,26,Pomarańczowy
polish,6,-2,-4,0,16,159,219,Niebieski.
polish,6,-2,-4,1,16,159,219,Niebieski.
polish,6,-2,-4,2,16,159,219,Niebieski.
polish,9,-2,4,0,221,245,150,Limonkowy
polish,9,-2,4,1,221,245,150,Limonkowy.
polish,9,-2,4,2,221,245,150,Limonkowy.
polish,9,-5,8,0,147,253,35,Limonkowy
polish,9,-5,8,1,147,253,35,Limonkowy.
polish,9,-5,8,2,147,253,35,Limonkowy
polish,5,1,-6,0,22,106,217,Niebieski
polish,5,1,-6,1,22,106,217,Niebieski.
polish,5,1,-6,2,22,106,217,Niebieski.
polish,7,-1,-2,0,122,170,198,Błękitny
polish,7,-1,-2,1,122,170,198,Błękitny
polish,7,-1,-2,2,122,170,198,Błękitny
polish,3,6,-9,0,80,11,216,Fioletowy
polish,3,6,-9,1,80,11,216,Fioletowy
polish,3,6,-9,2,80,11,216,Fioletowy
polish,6,0,5,0,150,134,41,Oliwkowy.
polish,6,0,5,1,150,134,41,Musztardowy.
polish,6,0,5,2,150,134,41,Oliwkowy
polish,9,0,-1,0,218,226,243,Jasnoszary.
polish,9,0,-1,1,218,226,243,Szary.
polish,9,0,-1,2,218,226,243,Szary
polish,6,6,4,0,254,87,83,Koralowy.
polish,6,6,4,1,254,87,83,Koralowy
polish,6,6,4,2,254,87,83,Koralowy
polish,8,-7,7,0,20,241,40,Zielony.
polish,8,-7,7,1,20,241,40,Zielony.
polish,8,-7,7,2,20,241,40,Zielony.
polish,4,4,-9,0,52,64,236,Niebieski
polish,4,4,-9,1,52,64,236,Niebieski.
polish,4,4,-9,2,52,64,236,Niebieski.
polish,3,-1,-2,0,30,88,107,Petrolowy.
polish,3,-1,-2,1,30,88,107,Petrolowy.
polish,3,-1,-2,2,30,88,107,Petrolowy.
polish,7,-2,7,0,173,185,13,Oliwkowy
polish,7,-2,7,1,173,185,13,Oliwkowy.
polish,7,-2,7,2,173,185,13,Oliwkowy.
polish,8,-5,6,0,117,213,73,Zielony.
polish,8,-5,6,1,117,213,73,Limonkowy
polish,8,-5,6,2,117,213,73,Zielony.
polish,9,-4,-1,0,103,249,252,Turkusowy.
polish,9,-4,-1,1,103,249,252,Turkusowy.
polish,9,-4,-1,2,103,249,252,Turkusowy
polish,8,-1,5,0,202,196,106,Żółty
polish,8,-1,5,1,202,196,106,Żółty
polish,8,-1,5,2,202,196,106,Żółty.
polish,7,3,7,0,222,140,27,Pomarańczowy
polish,7,3,7,1,222,140,27,Pomarańczowy.
polish,7,3,7,2,222,140,27,Pomarańczowy
polish,7,-6,7,0,69,202,24,Zielony.
polish,7,-6,7,1,69,202,24,Zielony.
polish,7,-6,7,2,69,202,24,Zielony.
polish,5,7,1,0,239,48,123,Różowy
polish,5,7,1,1,239,48,123,Różowy
polish,5,7,1,2,239,48,123,Różowy
polish,5,-3,4,0,79,124,47,Zielony.
polish,5,-3,4,1,79,124,47,Zielony
polish,5,-3,4,2,79,124,47,Zielony.
polish,2,-2,1,0,33,58,31,Zieleń butelkowa.
polish,2,-2,1,1,33,58,31,Zielony
polish,2,-2,1,2,33,58,31,Zielony.
polish,6,-2,-3,0,40,161,197,Niebieski.
polish,6,-2,-3,1,40,161,197,Błękitny
polish,6,-2,-3,2,40,161,197,Błękitny
polish,6,0,-6,0,40,135,240,Niebieski.
polish,6,0,-6,1,40,135,240,Niebieski
polish,6,0,-6,2,40,135,240,Niebieski.
polish,4,2,-5,0,87,92,189,Niebieski.
polish,4,2,-5,1,87,92,189,Niebieski.
polish,4,2,-5,2,87,92,189,Niebieski.
polish,4,6,2,0,198,35,70,Czerwony
polish,4,6,2,1,198,35,70,Czerwony
polish,4,6,2,2,198,35,70,Czerwony
polish,2,2,-5,0,35,27,107,Granatowy
polish,2,2,-5,1,35,27,107,Granatowy
polish,2,2,-5,2,35,27,107,Granatowy
polish,8,-6,4,0,43,238,136,Miętowy
polish,8,-6,4,1,43,238,136,Zielony.
polish,8,-6,4,2,43,238,136,Miętowy
polish,4,6,0,0,174,18,98,Amarantowy
polish,4,6,0,1,174,18,98,Fuksja
polish,4,6,0,2,174,18,98,Amarantowy
