lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
portuguese,8,-5,7,0,111,220,8,Verde-limão
portuguese,8,-5,7,1,111,220,8,Verde-limão.
portuguese,8,-5,7,2,111,220,8,Verde limão.
portuguese,8,-7,7,0,20,241,40,Verde.
portuguese,8,-7,7,1,20,241,40,Verde.
portuguese,8,-7,7,2,20,241,40,Verde.
portuguese,7,-6,6,0,73,203,38,Verde.
portuguese,7,-6,6,1,73,203,38,Verde limão
portuguese,7,-6,6,2,73,203,38,Verde limão
portuguese,8,1,8,0,252,199,34,Amarelo.
portuguese,8,1,8,1,252,199,34,Amarelo.
portuguese,8,1,8,2,252,199,34,Amarelo.
portuguese,3,5,-9,0,37,53,226,Azul.
portuguese,3,5,-9,1,37,53,226,Azul.
portuguese,3,5,-9,2,37,53,226,Azul.
portuguese,4,6,5,0,191,30,14,Vermelho.
portuguese,4,6,5,1,191,30,14,Vermelho.
portuguese,4,6,5,2,191,30,14,Vermelho.
portuguese,5,-3,0,0,33,120,113,Verde-azulado.
portuguese,5,-3,0,1,33,120,113,Verde-azulado.
portuguese,5,-3,0,2,33,120,113,Verde-azulado.
portuguese,8,-4,6,0,150,222,79,Verde-limão
portuguese,8,-4,6,1,150,222,79,Verde-limão
portuguese,8,-4,6,2,150,222,79,Verde-lima
portuguese,1,1,-3,0,7,20,64,Azul-marinho.
portuguese,1,1,-3,1,7,20,64,Azul-marinho.
portuguese,1,1,-3,2,7,20,64,Azul marinho.
portuguese,3,6,-10,0,53,4,233,Azul-violeta.
portuguese,3,6,-10,1,53,4,233,Azul-violeta.
portuguese,3,6,-10,2,53,4,233,Roxo
portuguese,7,0,-2,0,146,176,217,Azul.
portuguese,7,0,-2,1,146,176,217,Azul claro.
portuguese,7,0,-2,2,146,176,217,Azul claro.
portuguese,8,-7,5,0,43,232,91,Verde
portuguese,8,-7,5,1,43,232,91,Verde-claro
portuguese,8,-7,5,2,43,232,91,Verde.
portuguese,9,-4,2,0,150,241,186,Verde menta.
portuguese,9,-4,2,1,150,241,186,Verde claro.
portuguese,9,-4,2,2,150,241,186,Verde menta.
portuguese,8,2,4,0,245,182,117,Pêssego.
portuguese,8,2,4,1,245,182,117,Pêssego.
portuguese,8,2,4,2,245,182,117,Pêssego.
portuguese,8,0,8,0,224,196,15,Amarelo.
portuguese,8,0,8,1,224,196,15,Amarelo.
portuguese,8,0,8,2,224,196,15,Amarelo.
portuguese,8,-6,3,0,64,211,117,Verde claro.
portuguese,8,-6,3,1,64,211,117,Verde.
portuguese,8,-6,3,2,64,211,117,Verde.
portuguese,2,5,-8,0,34,6,178,Azul.
portuguese,2,5,-8,1,34,6,178,Azul.
portuguese,2,5,-8,2,34,6,178,Azul.
portuguese,4,2,-6,0,95,94,199,Azul.
portuguese,4,2,-6,1,95,94,199,Azul.
portuguese,4,2,-6,2,95,94,199,Azul.
portuguese,8,1,6,0,232,189,85,Amarelo.
portuguese,8,1,6,1,232,189,85,Amarelo.
portuguese,8,1,6,2,232,189,85,Amarelo.
portuguese,3,5,2,0,136,7,44,Vinho
portuguese,3,5,2,1,136,7,44,Vinho.
portuguese,3,5,2,2,136,7,44,Vinho
portuguese,5,2,-2,0,132,98,148,Roxo.
portuguese,5,2,-2,1,132,98,148,Roxo
portuguese,5,2,-2,2,132,98,148,Roxo
portuguese,7,-3,3,0,127,186,110,Verde.
portuguese,7,-3,3,1,127,186,110,Verde.
portuguese,7,-3,3,2,127,186,110,Verde.
portuguese,6,-5,5,0,36,168,48,Verde.
portuguese,6,-5,5,1,36,168,48,Verde.
portuguese,6,-5,5,2,36,168,48,Verde.
portuguese,7,-6,3,0,28,207,115,Verde.
portuguese,7,-6,3,1,28,207,115,Verde.
portuguese,7,-6,3,2,28,207,115,Verde.
portuguese,6,8,-3,0,251,24,187,Rosa.
portuguese,6,8,-3,1,251,24,187,Rosa.
portuguese,6,8,-3,2,251,24,187,Rosa.
portuguese,5,-3,-1,0,3,129,124,Verde-azulado.
portuguese,5,-3,-1,1,3,129,124,Verde-azulado.
portuguese,5,-3,-1,2,3,129,124,Verde-azulado.
