lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
russian,8,-4,-2,0,68,207,215,Бирюзовый
russian,8,-4,-2,1,68,207,215,Бирюзовый.
russian,8,-4,-2,2,68,207,215,Бирюзовый
russian,9,-2,8,0,208,223,20,Лаймовый.
russian,9,-2,8,1,208,223,20,Лаймовый.
russian,9,-2,8,2,208,223,20,Лаймовый.
russian,8,-7,5,0,43,232,91,Зелёный
russian,8,-7,5,1,43,232,91,Зелёный
russian,8,-7,5,2,43,232,91,Зелёный
russian,3,-3,3,0,2,77,2,Зелёный
russian,3,-3,3,1,2,77,2,Зелёный
russian,3,-3,3,2,2,77,2,Зелёный.
russian,5,5,-3,0,170,65,157,Фиолетовый.
russian,5,5,-3,1,170,65,157,Фиолетовый
russian,5,5,-3,2,170,65,157,Фиолетовый.
russian,9,0,5,0,248,220,130,Жёлтый
russian,9,0,5,1,248,220,130,Жёлтый
russian,9,0,5,2,248,220,130,Жёлтый
russian,4,6,-4,0,167,40,174,Фиолетовый
russian,4,6,-4,1,167,40,174,Фиолетовый
russian,4,6,-4,2,167,40,174,Фиолетовый
russian,7,4,-3,0,210,143,220,Сиреневый
russian,7,4,-3,1,210,143,220,Розовый
russian,7,4,-3,2,210,143,220,Сиреневый
russian,7,-3,-3,0,20,190,228,Бирюзовый
russian,7,-3,-3,1,20,190,228,Бирюзовый
russian,7,-3,-3,2,20,190,228,Бирюзовый.
russian,3,4,-7,0,88,52,187,Фиолетовый.
russian,3,4,-7,1,88,52,187,Фиолетовый
russian,3,4,-7,2,88,52,187,Фиолетовый.
russian,8,1,1,0,219,179,176,Розовый
russian,8,1,1,1,219,179,176,Розовый
russian,8,1,1,2,219,179,176,Розовый.
russian,1,-1,1,0,14,22,8,Хаки.
russian,1,-1,1,1,14,22,8,Тёмно-зелёный
russian,1,-1,1,2,14,22,8,Тёмно-зелёный
russian,5,7,-2,0,209,20,152,Фуксия
russian,5,7,-2,1,209,20,152,Розовый
russian,5,7,-2,2,209,20,152,Фуксия
russian,9,-6,8,0,129,248,16,Лаймовый.
russian,9,-6,8,1,129,248,16,Салатовый
russian,9,-6,8,2,129,248,16,Салатовый
russian,9,-5,4,0,135,249,135,Салатовый
russian,9,-5,4,1,135,249,135,Салатовый
russian,9,-5,4,2,135,249,135,Салатовый
russian,7,-1,7,0,177,171,16,Оливковый.
russian,7,-1,7,1,177,171,16,Оливковый.
russian,7,-1,7,2,177,171,16,Оливковый
russian,5,-1,3,0,112,119,60,Оливковый
russian,5,-1,3,1,112,119,60,Оливковый.
russian,5,-1,3,2,112,119,60,Оливковый.
russian,3,-2,0,0,28,83,81,Изумрудный.
russian,3,-2,0,1,28,83,81,Бирюзовый.
russian,3,-2,0,2,28,83,81,Изумрудный
russian,3,0,-3,0,51,70,116,Синий
russian,3,0,-3,1,51,70,116,Синий
russian,3,0,-3,2,51,70,116,Синий
russian,9,-7,8,0,60,251,10,Зелёный.
russian,9,-7,8,1,60,251,10,Лаймовый.
russian,9,-7,8,2,60,251,10,Лайм.
russian,8,2,3,0,233,177,129,Персиковый
russian,8,2,3,1,233,177,129,Персиковый
russian,8,2,3,2,233,177,129,Персиковый.
russian,5,0,-5,0,12,123,211,Синий
russian,5,0,-5,1,12,123,211,Синий
russian,5,0,-5,2,12,123,211,Синий
russian,8,-6,4,0,43,238,136,Мятный
russian,8,-6,4,1,43,238,136,Зелёный.
russian,8,-6,4,2,43,238,136,Зелёный.
russian,8,-7,7,0,20,241,40,Зелёный
russian,8,-7,7,1,20,241,40,Зелёный.
russian,8,-7,7,2,20,241,40,Зелёный
russian,6,6,5,0,254,100,60,Оранжевый
russian,6,6,5,1,254,100,60,Оранжевый
russian,6,6,5,2,254,100,60,Оранжевый
russian,6,1,-6,0,88,140,240,Синий
russian,6,1,-6,1,88,140,240,Синий
russian,6,1,-6,2,88,140,240,Синий
russian,5,0,-6,0,18,119,225,Синий
russian,5,0,-6,1,18,119,225,Синий
russian,5,0,-6,2,18,119,225,Синий
russian,3,6,-10,0,53,4,233,Фиолетовый
russian,3,6,-10,1,53,4,233,Фиолетовый.
russian,3,6,-10,2,53,4,233,Фиолетовый.
russian,6,2,-1,0,176,134,174,Сиреневый
russian,6,2,-1,1,176,134,174,Розовый.
russian,6,2,-1,2,176,134,174,Сиреневый
russian,8,-1,-1,0,167,191,202,Голубой
russian,8,-1,-1,1,167,191,202,Голубой
russian,8,-1,-1,2,167,191,202,Голубой
russian,6,0,-4,0,104,140,211,Синий
russian,6,0,-4,1,104,140,211,Голубой
russian,6,0,-4,2,104,140,211,Синий
russian,7,-2,7,0,173,185,13,Оливковый
russian,7,-2,7,1,173,185,13,Салатовый
russian,7,-2,7,2,173,185,13,Лаймовый.
russian,5,-2,-1,0,72,142,144,Бирюзовый
russian,5,-2,-1,1,72,142,144,Бирюзовый.
russian,5,-2,-1,2,72,142,144,Бирюзовый
russian,5,7,4,0,229,15,64,Красный
russian,5,7,4,1,229,15,64,Красный
russian,5,7,4,2,229,15,64,Красный
russian,5,7,1,0,239,48,123,Розовый
russian,5,7,1,1,239,48,123,Розовый.
russian,5,7,1,2,239,48,123,Розовый
russian,4,7,-8,0,135,20,227,Фиолетовый
russian,4,7,-8,1,135,20,227,Фиолетовый
russian,4,7,-8,2,135,20,227,Фиолетовый
russian,8,-2,0,0,156,201,196,Бирюзовый
russian,8,-2,0,1,156,201,196,Бирюзовый.
russian,8,-2,0,2,156,201,196,Бирюзовый.
russian,4,7,4,0,201,4,36,Красный
russian,4,7,4,1,201,4,36,Красный
russian,4,7,4,2,201,4,36,Красный.
russian,5,-3,-1,0,3,129,124,Бирюзовый.
russian,5,-3,-1,1,3,129,124,Бирюзовый
russian,5,-3,-1,2,3,129,124,Бирюзовый.
russian,8,-5,1,0,27,215,159,Бирюзовый.
russian,8,-5,1,1,27,215,159,Бирюзовый
russian,8,-5,1,2,27,215,159,Бирюзовый
russian,4,7,-3,0,176,5,142,Фиолетовый
russian,4,7,-3,1,176,5,142,Фиолетовый
russian,4,7,-3,2,176,5,142,Фиолетовый
russian,7,2,5,0,226,151,85,Оранжевый
russian,7,2,5,1,226,151,85,Оранжевый.
russian,7,2,5,2,226,151,85,Оранжевый
russian,9,-3,-1,0,167,250,251,Бирюзовый.
russian,9,-3,-1,1,167,250,251,Бирюзовый.
russian,9,-3,-1,2,167,250,251,Мятный
russian,8,1,-2,0,202,185,222,Сиреневый
russian,8,1,-2,1,202,185,222,Сиреневый
russian,8,1,-2,2,202,185,222,Сиреневый.
russian,2,5,-8,0,34,6,178,Синий
russian,2,5,-8,1,34,6,178,Синий
russian,2,5,-8,2,34,6,178,Синий
russian,9,-2,5,0,209,237,133,Салатовый.
russian,9,-2,5,1,209,237,133,Лаймовый
russian,9,-2,5,2,209,237,133,Салатовый
russian,9,-1,-1,0,187,218,232,Голубой
russian,9,-1,-1,1,187,218,232,Голубой
russian,9,-1,-1,2,187,218,232,Голубой
russian,7,1,6,0,196,152,25,Охра
russian,7,1,6,1,196,152,25,Охра
russian,7,1,6,2,196,152,25,Охра
russian,4,4,3,0,145,60,33,Коричневый
russian,4,4,3,1,145,60,33,Коричневый
russian,4,4,3,2,145,60,33,Коричневый
russian,8,-6,2,0,32,214,145,Мятный
russian,8,-6,2,1,32,214,145,Бирюзовый.
russian,8,-6,2,2,32,214,145,Бирюзовый
russian,5,5,-6,0,160,69,209,Фиолетовый
russian,5,5,-6,1,160,69,209,Фиолетовый
russian,5,5,-6,2,160,69,209,Фиолетовый
russian,4,2,-6,0,95,94,199,Сиреневый.
russian,4,2,-6,1,95,94,199,Синий
russian,4,2,-6,2,95,94,199,Синий
russian,6,1,-2,0,166,149,186,Лиловый
russian,6,1,-2,1,166,149,186,Сиреневый.
russian,6,1,-2,2,166,149,186,Лавандовый
russian,7,3,6,0,231,149,46,Оранжевый
russian,7,3,6,1,231,149,46,Оранжевый
russian,7,3,6,2,231,149,46,Оранжевый
russian,6,6,-1,0,222,80,161,Розовый
russian,6,6,-1,1,222,80,161,Розовый
russian,6,6,-1,2,222,80,161,Розовый
russian,7,-6,6,0,73,203,38,Зелёный
russian,7,-6,6,1,73,203,38,Зелёный
russian,7,-6,6,2,73,203,38,Зелёный
russian,3,5,-2,0,113,16,92,Фиолетовый
russian,3,5,-2,1,113,16,92,Пурпурный
russian,3,5,-2,2,113,16,92,Пурпурный
russian,9,-3,2,0,174,249,187,Мятный
russian,9,-3,2,1,174,249,187,Мятный
russian,9,-3,2,2,174,249,187,Мятный
russian,3,2,-2,0,93,70,106,Фиолетовый.
russian,3,2,-2,1,93,70,106,Фиолетовый
russian,3,2,-2,2,93,70,106,Фиолетовый.
russian,8,-5,-1,0,42,222,207,Бирюзовый.
russian,8,-5,-1,1,42,222,207,Бирюзовый.
russian,8,-5,-1,2,42,222,207,Бирюзовый.
russian,7,-4,6,0,121,204,56,Лаймовый.
russian,7,-4,6,1,121,204,56,Лаймовый
russian,7,-4,6,2,121,204,56,Салатовый
russian,6,-5,5,0,36,168,48,Зелёный
russian,6,-5,5,1,36,168,48,Зелёный
russian,6,-5,5,2,36,168,48,Зелёный
russian,6,1,-1,0,164,144,159,Сиреневый
russian,6,1,-1,1,164,144,159,Сиреневый
russian,6,1,-1,2,164,144,159,Сиреневый
russian,5,-3,5,0,77,128,2,Оливковый.
russian,5,-3,5,1,77,128,2,Оливковый
russian,5,-3,5,2,77,128,2,Оливковый
russian,5,-2,-3,0,17,130,174,Синий
russian,5,-2,-3,1,17,130,174,Синий
russian,5,-2,-3,2,17,130,174,Бирюзовый.
russian,5,8,-5,0,220,48,227,Фиолетовый
russian,5,8,-5,1,220,48,227,Фиолетовый
russian,5,8,-5,2,220,48,227,Фиолетовый
russian,7,-6,5,0,52,203,64,Зелёный
russian,7,-6,5,1,52,203,64,Зелёный
russian,7,-6,5,2,52,203,64,Зелёный
russian,4,-2,2,0,65,105,65,Зелёный
russian,4,-2,2,1,65,105,65,Зелёный.
russian,4,-2,2,2,65,105,65,Зелёный
russian,9,-5,-1,0,47,240,229,Бирюзовый.
russian,9,-5,-1,1,47,240,229,Бирюзовый
russian,9,-5,-1,2,47,240,229,Бирюзовый.
russian,5,-4,4,0,55,137,35,Зелёный
russian,5,-4,4,1,55,137,35,Зелёный
russian,5,-4,4,2,55,137,35,Зелёный
russian,3,5,3,0,125,6,24,Бордовый
russian,3,5,3,1,125,6,24,Бордовый
russian,3,5,3,2,125,6,24,Бордовый
russian,7,-3,0,0,102,194,174,Бирюзовый.
russian,7,-3,0,1,102,194,174,Бирюзовый
russian,7,-3,0,2,102,194,174,Бирюзовый
russian,7,-4,1,0,80,180,134,Мятный
russian,7,-4,1,1,80,180,134,Бирюзовый
russian,7,-4,1,2,80,180,134,Бирюзовый.
russian,4,7,-9,0,124,2,243,Фиолетовый
russian,4,7,-9,1,124,2,243,Фиолетовый
russian,4,7,-9,2,124,2,243,Фиолетовый
russian,6,8,0,0,241,44,139,Розовый
russian,6,8,0,1,241,44,139,Розовый
russian,6,8,0,2,241,44,139,Розовый
russian,5,7,3,0,225,24,71,Красный
russian,5,7,3,1,225,24,71,Красный
russian,5,7,3,2,225,24,71,Красный
russian,3,7,-10,0,80,26,250,Фиолетовый
russian,3,7,-10,1,80,26,250,Фиолетовый
russian,3,7,-10,2,80,26,250,Фиолетовый
russian,4,4,-3,0,147,80,159,Фиолетовый
russian,4,4,-3,1,147,80,159,Фиолетовый.
russian,4,4,-3,2,147,80,159,Фиолетовый
russian,9,-3,1,0,166,238,200,Мятный.
russian,9,-3,1,1,166,238,200,Мятный
russian,9,-3,1,2,166,238,200,Мятный.
russian,5,2,-6,0,104,109,217,Сиреневый.
russian,5,2,-6,1,104,109,217,Сиреневый
russian,5,2,-6,2,104,109,217,Сиреневый.
