lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
spanish,3,6,-10,0,53,4,233,Violeta
spanish,3,6,-10,1,53,4,233,Violeta.
spanish,3,6,-10,2,53,4,233,Violeta
spanish,4,-4,4,0,16,117,14,Verde.
spanish,4,-4,4,1,16,117,14,Verde.
spanish,4,-4,4,2,16,117,14,Verde.
spanish,8,-4,-2,0,68,207,215,Turquesa.
spanish,8,-4,-2,1,68,207,215,Turquesa.
spanish,8,-4,-2,2,68,207,215,Turquesa.
spanish,8,-7,7,0,20,241,40,Verde.
spanish,8,-7,7,1,20,241,40,Verde.
spanish,8,-7,7,2,20,241,40,Verde.
spanish,8,-6,7,0,116,230,52,Verde lima.
spanish,8,-6,7,1,116,230,52,Verde limón.
spanish,8,-6,7,2,116,230,52,Verde lima.
spanish,3,1,-5,0,12,71,159,Azul.
spanish,3,1,-5,1,12,71,159,Azul.
spanish,3,1,-5,2,12,71,159,Azul.
spanish,9,-5,-1,0,47,240,229,Turquesa.
spanish,9,-5,-1,1,47,240,229,Turquesa
spanish,9,-5,-1,2,47,240,229,Turquesa
spanish,4,4,-9,0,52,64,236,Azul.
spanish,4,4,-9,1,52,64,236,Azul.
spanish,4,4,-9,2,52,64,236,Azul.
spanish,5,8,6,0,243,5,12,Rojo.
spanish,5,8,6,1,243,5,12,Rojo.
spanish,5,8,6,2,243,5,12,Rojo.
spanish,2,4,-7,0,2,16,138,Azul.
spanish,2,4,-7,1,2,16,138,Azul.
spanish,2,4,-7,2,2,16,138,Azul marino.
spanish,4,3,-8,0,36,93,246,Azul.
spanish,4,3,-8,1,36,93,246,Azul.
spanish,4,3,-8,2,36,93,246,Azul.
spanish,3,5,-9,0,37,53,226,Azul.
spanish,3,5,-9,1,37,53,226,Azul.
spanish,3,5,-9,2,37,53,226,Azul.
spanish,4,6,-5,0,158,43,190,Morado.
spanish,4,6,-5,1,158,43,190,Violeta
spanish,4,6,-5,2,158,43,190,Violeta.
spanish,4,6,5,0,191,30,14,Rojo.
spanish,4,6,5,1,191,30,14,Rojo.
spanish,4,6,5,2,191,30,14,Rojo.
spanish,8,1,-1,0,205,198,229,Lavanda
spanish,8,1,-1,1,205,198,229,Lavanda
spanish,8,1,-1,2,205,198,229,Lavanda.
spanish,5,-2,5,0,112,131,28,Oliva
spanish,5,-2,5,1,112,131,28,Verde oliva.
spanish,5,-2,5,2,112,131,28,Verde oliva.
spanish,6,-3,-1,0,37,147,154,Turquesa.
spanish,6,-3,-1,1,37,147,154,Turquesa.
